# Electron neutrino-oxygen scattering cross section 5MeV-60MeV (10^-38 cm^2/GeV) #
# log(energy in GeV)       nu_e       nu_mu       nu_tau       nu_e_bar       nu_mu_bar       nu_tau_bar #

       -2.12539         0.0194739       0           0              0              0                0
       -2.12409         0.0196115       0           0              0              0                0
       -2.12279         0.0197502       0           0              0              0                0
       -2.12149         0.0198898       0           0              0              0                0
       -2.12019         0.0200305       0           0              0              0                0
       -2.11889         0.0201723       0           0              0              0                0
       -2.11758         0.0203151       0           0              0              0                0
       -2.11628         0.0204591       0           0              0              0                0
       -2.11498         0.0206042       0           0              0              0                0
       -2.11368         0.0207504       0           0              0              0                0
       -2.11238         0.0208978       0           0              0              0                0
       -2.11108         0.0210464       0           0              0              0                0
       -2.10978         0.0211963       0           0              0              0                0
       -2.10848         0.0213474       0           0              0              0                0
       -2.10718         0.0214997       0           0              0              0                0
       -2.10588         0.0216533       0           0              0              0                0
       -2.10457         0.0218082       0           0              0              0                0
       -2.10327         0.0219645       0           0              0              0                0
       -2.10197          0.022122       0           0              0              0                0
       -2.10067          0.022281       0           0              0              0                0
       -2.09937         0.0224413       0           0              0              0                0
       -2.09807          0.022603       0           0              0              0                0
       -2.09677         0.0227661       0           0              0              0                0
       -2.09547         0.0229307       0           0              0              0                0
       -2.09417         0.0230967       0           0              0              0                0
       -2.09287         0.0232642       0           0              0              0                0
       -2.09156         0.0234332       0           0              0              0                0
       -2.09026         0.0236036       0           0              0              0                0
       -2.08896         0.0237756       0           0              0              0                0
       -2.08766         0.0239491       0           0              0              0                0
       -2.08636         0.0241242       0           0              0              0                0
       -2.08506         0.0243008       0           0              0              0                0
       -2.08376         0.0244792       0           0              0              0                0
       -2.08246         0.0246593       0           0              0              0                0
       -2.08116         0.0248413       0           0              0              0                0
       -2.07985         0.0250251       0           0              0              0                0
       -2.07855          0.025211       0           0              0              0                0
       -2.07725         0.0253989       0           0              0              0                0
       -2.07595         0.0255889       0           0              0              0                0
       -2.07465         0.0257811       0           0              0              0                0
       -2.07335         0.0259756       0           0              0              0                0
       -2.07205         0.0261725       0           0              0              0                0
       -2.07075         0.0263717       0           0              0              0                0
       -2.06945         0.0265734       0           0              0              0                0
       -2.06815         0.0267776       0           0              0              0                0
       -2.06684         0.0269844       0           0              0              0                0
       -2.06554         0.0271939       0           0              0              0                0
       -2.06424         0.0274061       0           0              0              0                0
       -2.06294          0.027621       0           0              0              0                0
       -2.06164         0.0278388       0           0              0              0                0
