# # nu-e elastic cross section (10^-38 cm^2/GeV) #   From Marciano et al doi.org/10.1088/0954-3899/29/11/013 #
# log(energy in GeV)  nu_e      nu_mu      nu_tau      nu_e_bar      nu_mu_bar    nu_tau_bar #

-3.152713  6.326273e-04  1.461361e-04  1.447939e-04  3.051160e-04  1.321645e-04  1.332156e-04
-3.150111  6.338338e-04  1.462328e-04  1.448897e-04  3.054482e-04  1.322231e-04  1.332748e-04
-3.147508  6.350376e-04  1.463288e-04  1.449849e-04  3.057796e-04  1.322812e-04  1.333333e-04
-3.144906  6.362386e-04  1.464242e-04  1.450794e-04  3.061102e-04  1.323388e-04  1.333914e-04
-3.142304  6.374369e-04  1.465189e-04  1.451733e-04  3.064400e-04  1.323958e-04  1.334488e-04
-3.139702  6.386324e-04  1.466130e-04  1.452665e-04  3.067689e-04  1.324522e-04  1.335057e-04
-3.137100  6.398251e-04  1.467065e-04  1.453591e-04  3.070970e-04  1.325081e-04  1.335620e-04
-3.134498  6.410151e-04  1.467994e-04  1.454511e-04  3.074243e-04  1.325635e-04  1.336178e-04
-3.131896  6.422023e-04  1.468916e-04  1.455425e-04  3.077508e-04  1.326183e-04  1.336731e-04
-3.129294  6.433866e-04  1.469832e-04  1.456333e-04  3.080764e-04  1.326726e-04  1.337278e-04
-3.126692  6.445681e-04  1.470742e-04  1.457234e-04  3.084012e-04  1.327263e-04  1.337819e-04
-3.124090  6.457468e-04  1.471646e-04  1.458130e-04  3.087252e-04  1.327795e-04  1.338356e-04
-3.121488  6.469227e-04  1.472543e-04  1.459019e-04  3.090484e-04  1.328322e-04  1.338887e-04
-3.118886  6.480957e-04  1.473435e-04  1.459902e-04  3.093707e-04  1.328843e-04  1.339412e-04
-3.116284  6.492658e-04  1.474320e-04  1.460780e-04  3.096922e-04  1.329360e-04  1.339933e-04
-3.113682  6.504331e-04  1.475199e-04  1.461651e-04  3.100129e-04  1.329871e-04  1.340448e-04
-3.111080  6.515975e-04  1.476073e-04  1.462516e-04  3.103327e-04  1.330377e-04  1.340958e-04
-3.108478  6.527589e-04  1.476940e-04  1.463375e-04  3.106518e-04  1.330878e-04  1.341463e-04
-3.105875  6.539175e-04  1.477801e-04  1.464229e-04  3.109700e-04  1.331374e-04  1.341963e-04
-3.103273  6.550732e-04  1.478657e-04  1.465076e-04  3.112873e-04  1.331865e-04  1.342458e-04
-3.100671  6.562259e-04  1.479506e-04  1.465918e-04  3.116039e-04  1.332350e-04  1.342947e-04
-3.098069  6.573756e-04  1.480350e-04  1.466754e-04  3.119196e-04  1.332831e-04  1.343432e-04
-3.095467  6.585225e-04  1.481187e-04  1.467584e-04  3.122345e-04  1.333307e-04  1.343912e-04
-3.092865  6.596663e-04  1.482019e-04  1.468408e-04  3.125485e-04  1.333778e-04  1.344387e-04
-3.090263  6.608072e-04  1.482845e-04  1.469227e-04  3.128618e-04  1.334244e-04  1.344856e-04
-3.087661  6.619451e-04  1.483666e-04  1.470040e-04  3.131742e-04  1.334706e-04  1.345321e-04
-3.085059  6.630801e-04  1.484481e-04  1.470847e-04  3.134857e-04  1.335162e-04  1.345781e-04
-3.082457  6.642120e-04  1.485289e-04  1.471648e-04  3.137965e-04  1.335614e-04  1.346237e-04
-3.079855  6.653409e-04  1.486093e-04  1.472444e-04  3.141064e-04  1.336061e-04  1.346687e-04
-3.077253  6.664669e-04  1.486890e-04  1.473234e-04  3.144155e-04  1.336503e-04  1.347133e-04
-3.074651  6.675897e-04  1.487682e-04  1.474019e-04  3.147237e-04  1.336941e-04  1.347574e-04
-3.072049  6.687096e-04  1.488469e-04  1.474798e-04  3.150311e-04  1.337374e-04  1.348011e-04
-3.069447  6.698264e-04  1.489250e-04  1.475572e-04  3.153377e-04  1.337802e-04  1.348442e-04
-3.066845  6.709402e-04  1.490025e-04  1.476340e-04  3.156435e-04  1.338226e-04  1.348870e-04
-3.064243  6.720509e-04  1.490795e-04  1.477103e-04  3.159484e-04  1.338645e-04  1.349292e-04
-3.061640  6.731586e-04  1.491559e-04  1.477860e-04  3.162525e-04  1.339060e-04  1.349710e-04
-3.059038  6.742632e-04  1.492318e-04  1.478612e-04  3.165558e-04  1.339470e-04  1.350124e-04
-3.056436  6.753647e-04  1.493071e-04  1.479359e-04  3.168582e-04  1.339876e-04  1.350533e-04
-3.053834  6.764631e-04  1.493820e-04  1.480100e-04  3.171598e-04  1.340277e-04  1.350937e-04
-3.051232  6.775584e-04  1.494562e-04  1.480836e-04  3.174606e-04  1.340674e-04  1.351338e-04
-3.048630  6.786506e-04  1.495300e-04  1.481567e-04  3.177605e-04  1.341067e-04  1.351733e-04
-3.046028  6.797398e-04  1.496032e-04  1.482292e-04  3.180596e-04  1.341455e-04  1.352125e-04
-3.043426  6.808258e-04  1.496759e-04  1.483012e-04  3.183579e-04  1.341840e-04  1.352512e-04
-3.040824  6.819086e-04  1.497480e-04  1.483727e-04  3.186554e-04  1.342219e-04  1.352895e-04
-3.038222  6.829884e-04  1.498197e-04  1.484437e-04  3.189520e-04  1.342595e-04  1.353273e-04
-3.035620  6.840650e-04  1.498908e-04  1.485142e-04  3.192478e-04  1.342966e-04  1.353648e-04
-3.033018  6.851385e-04  1.499614e-04  1.485841e-04  3.195427e-04  1.343334e-04  1.354018e-04
-3.030416  6.862088e-04  1.500315e-04  1.486536e-04  3.198368e-04  1.343697e-04  1.354384e-04
-3.027814  6.872760e-04  1.501011e-04  1.487225e-04  3.201301e-04  1.344056e-04  1.354746e-04
-3.025212  6.883401e-04  1.501702e-04  1.487910e-04  3.204225e-04  1.344411e-04  1.355104e-04
-3.022610  6.894009e-04  1.502387e-04  1.488589e-04  3.207142e-04  1.344762e-04  1.355457e-04
-3.020008  6.904586e-04  1.503068e-04  1.489264e-04  3.210049e-04  1.345109e-04  1.355807e-04
-3.017405  6.915132e-04  1.503744e-04  1.489933e-04  3.212949e-04  1.345452e-04  1.356153e-04
-3.014803  6.925645e-04  1.504415e-04  1.490598e-04  3.215840e-04  1.345791e-04  1.356495e-04
-3.012201  6.936127e-04  1.505081e-04  1.491258e-04  3.218723e-04  1.346126e-04  1.356832e-04
