-2.30103 0.01021 0.01021 0.01021 0.01021 0.01021 0.01021
-2.29973 0.0102409 0.0102409 0.0102409 0.0102409 0.0102409 0.0102409
-2.29843 0.0102719 0.0102719 0.0102719 0.0102719 0.0102719 0.0102719
-2.29712 0.010303 0.010303 0.010303 0.010303 0.010303 0.010303
-2.29582 0.0103342 0.0103342 0.0103342 0.0103342 0.0103342 0.0103342
-2.29452 0.0103655 0.0103655 0.0103655 0.0103655 0.0103655 0.0103655
-2.29322 0.0103968 0.0103968 0.0103968 0.0103968 0.0103968 0.0103968
-2.29191 0.0104281 0.0104281 0.0104281 0.0104281 0.0104281 0.0104281
-2.29061 0.0104593 0.0104593 0.0104593 0.0104593 0.0104593 0.0104593
-2.28931 0.0104906 0.0104906 0.0104906 0.0104906 0.0104906 0.0104906
-2.28801 0.0105219 0.0105219 0.0105219 0.0105219 0.0105219 0.0105219
-2.2867 0.0105534 0.0105534 0.0105534 0.0105534 0.0105534 0.0105534
-2.2854 0.010585 0.010585 0.010585 0.010585 0.010585 0.010585
-2.2841 0.0106167 0.0106167 0.0106167 0.0106167 0.0106167 0.0106167
-2.2828 0.0106487 0.0106487 0.0106487 0.0106487 0.0106487 0.0106487
-2.2815 0.0106808 0.0106808 0.0106808 0.0106808 0.0106808 0.0106808
-2.28019 0.0107132 0.0107132 0.0107132 0.0107132 0.0107132 0.0107132
-2.27889 0.0107456 0.0107456 0.0107456 0.0107456 0.0107456 0.0107456
-2.27759 0.010778 0.010778 0.010778 0.010778 0.010778 0.010778
-2.27629 0.0108105 0.0108105 0.0108105 0.0108105 0.0108105 0.0108105
-2.27498 0.010843 0.010843 0.010843 0.010843 0.010843 0.010843
-2.27368 0.0108754 0.0108754 0.0108754 0.0108754 0.0108754 0.0108754
-2.27238 0.0109079 0.0109079 0.0109079 0.0109079 0.0109079 0.0109079
-2.27108 0.0109404 0.0109404 0.0109404 0.0109404 0.0109404 0.0109404
-2.26977 0.0109731 0.0109731 0.0109731 0.0109731 0.0109731 0.0109731
-2.26847 0.0110059 0.0110059 0.0110059 0.0110059 0.0110059 0.0110059
-2.26717 0.0110389 0.0110389 0.0110389 0.0110389 0.0110389 0.0110389
-2.26587 0.0110721 0.0110721 0.0110721 0.0110721 0.0110721 0.0110721
-2.26456 0.0111055 0.0111055 0.0111055 0.0111055 0.0111055 0.0111055
-2.26326 0.0111391 0.0111391 0.0111391 0.0111391 0.0111391 0.0111391
-2.26196 0.0111727 0.0111727 0.0111727 0.0111727 0.0111727 0.0111727
-2.26066 0.0112064 0.0112064 0.0112064 0.0112064 0.0112064 0.0112064
-2.25936 0.01124 0.01124 0.01124 0.01124 0.01124 0.01124
-2.25805 0.0112736 0.0112736 0.0112736 0.0112736 0.0112736 0.0112736
-2.25675 0.0113073 0.0113073 0.0113073 0.0113073 0.0113073 0.0113073
-2.25545 0.011341 0.011341 0.011341 0.011341 0.011341 0.011341
-2.25415 0.0113748 0.0113748 0.0113748 0.0113748 0.0113748 0.0113748
-2.25284 0.0114087 0.0114087 0.0114087 0.0114087 0.0114087 0.0114087
-2.25154 0.0114428 0.0114428 0.0114428 0.0114428 0.0114428 0.0114428
