# # nu-e elastic cross section (10^-38 cm^2/GeV) #   From Marciano et al doi.org/10.1088/0954-3899/29/11/013 #
# log(energy in GeV)  nu_e      nu_mu      nu_tau      nu_e_bar      nu_mu_bar    nu_tau_bar #

-3.169871  6.246042e-04  1.454823e-04  1.441462e-04  3.029045e-04  1.317633e-04  1.328113e-04
-3.167570  6.256868e-04  1.455717e-04  1.442347e-04  3.032031e-04  1.318186e-04  1.328670e-04
-3.165269  6.267674e-04  1.456605e-04  1.443227e-04  3.035011e-04  1.318734e-04  1.329222e-04
-3.162968  6.278459e-04  1.457488e-04  1.444102e-04  3.037985e-04  1.319277e-04  1.329770e-04
-3.160667  6.289223e-04  1.458366e-04  1.444972e-04  3.040952e-04  1.319816e-04  1.330313e-04
-3.158366  6.299966e-04  1.459238e-04  1.445836e-04  3.043913e-04  1.320350e-04  1.330852e-04
-3.156065  6.310689e-04  1.460106e-04  1.446696e-04  3.046867e-04  1.320880e-04  1.331386e-04
-3.153764  6.321390e-04  1.460968e-04  1.447551e-04  3.049815e-04  1.321406e-04  1.331916e-04
-3.151463  6.332070e-04  1.461826e-04  1.448400e-04  3.052756e-04  1.321927e-04  1.332441e-04
-3.149162  6.342729e-04  1.462678e-04  1.449245e-04  3.055691e-04  1.322444e-04  1.332962e-04
-3.146861  6.353367e-04  1.463526e-04  1.450084e-04  3.058620e-04  1.322956e-04  1.333478e-04
-3.144560  6.363983e-04  1.464368e-04  1.450919e-04  3.061542e-04  1.323464e-04  1.333990e-04
-3.142259  6.374577e-04  1.465206e-04  1.451749e-04  3.064457e-04  1.323968e-04  1.334498e-04
-3.139958  6.385151e-04  1.466038e-04  1.452574e-04  3.067366e-04  1.324467e-04  1.335001e-04
-3.137657  6.395702e-04  1.466866e-04  1.453394e-04  3.070269e-04  1.324962e-04  1.335500e-04
-3.135356  6.406232e-04  1.467688e-04  1.454209e-04  3.073165e-04  1.325453e-04  1.335995e-04
-3.133055  6.416739e-04  1.468506e-04  1.455019e-04  3.076055e-04  1.325939e-04  1.336485e-04
-3.130754  6.427225e-04  1.469319e-04  1.455824e-04  3.078938e-04  1.326422e-04  1.336972e-04
-3.128453  6.437689e-04  1.470127e-04  1.456625e-04  3.081815e-04  1.326900e-04  1.337453e-04
-3.126152  6.448131e-04  1.470930e-04  1.457421e-04  3.084686e-04  1.327374e-04  1.337931e-04
-3.123851  6.458551e-04  1.471728e-04  1.458212e-04  3.087550e-04  1.327844e-04  1.338405e-04
-3.121550  6.468948e-04  1.472522e-04  1.458998e-04  3.090407e-04  1.328309e-04  1.338874e-04
-3.119249  6.479323e-04  1.473311e-04  1.459780e-04  3.093258e-04  1.328771e-04  1.339339e-04
-3.116948  6.489676e-04  1.474095e-04  1.460556e-04  3.096103e-04  1.329228e-04  1.339801e-04
-3.114647  6.500006e-04  1.474874e-04  1.461328e-04  3.098941e-04  1.329682e-04  1.340258e-04
-3.112346  6.510314e-04  1.475648e-04  1.462096e-04  3.101772e-04  1.330131e-04  1.340711e-04
-3.110045  6.520599e-04  1.476418e-04  1.462859e-04  3.104597e-04  1.330577e-04  1.341160e-04
-3.107743  6.530861e-04  1.477183e-04  1.463617e-04  3.107416e-04  1.331018e-04  1.341605e-04
-3.105442  6.541100e-04  1.477944e-04  1.464370e-04  3.110228e-04  1.331456e-04  1.342046e-04
-3.103141  6.551317e-04  1.478700e-04  1.465119e-04  3.113034e-04  1.331889e-04  1.342483e-04
-3.100840  6.561511e-04  1.479451e-04  1.465864e-04  3.115833e-04  1.332319e-04  1.342916e-04
-3.098539  6.571682e-04  1.480198e-04  1.466603e-04  3.118626e-04  1.332745e-04  1.343345e-04
-3.096238  6.581829e-04  1.480940e-04  1.467339e-04  3.121412e-04  1.333167e-04  1.343770e-04
-3.093937  6.591954e-04  1.481677e-04  1.468069e-04  3.124192e-04  1.333585e-04  1.344192e-04
-3.091636  6.602055e-04  1.482410e-04  1.468796e-04  3.126966e-04  1.333999e-04  1.344609e-04
-3.089335  6.612134e-04  1.483139e-04  1.469517e-04  3.129733e-04  1.334409e-04  1.345023e-04
-3.087034  6.622188e-04  1.483863e-04  1.470235e-04  3.132493e-04  1.334816e-04  1.345433e-04
-3.084733  6.632220e-04  1.484582e-04  1.470947e-04  3.135247e-04  1.335219e-04  1.345839e-04
-3.082432  6.642228e-04  1.485297e-04  1.471656e-04  3.137994e-04  1.335618e-04  1.346241e-04
-3.080131  6.652212e-04  1.486008e-04  1.472360e-04  3.140735e-04  1.336014e-04  1.346640e-04
-3.077830  6.662173e-04  1.486714e-04  1.473060e-04  3.143470e-04  1.336405e-04  1.347035e-04
-3.075529  6.672111e-04  1.487416e-04  1.473755e-04  3.146198e-04  1.336794e-04  1.347426e-04
-3.073228  6.682024e-04  1.488113e-04  1.474446e-04  3.148919e-04  1.337178e-04  1.347813e-04
-3.070927  6.691914e-04  1.488806e-04  1.475133e-04  3.151634e-04  1.337559e-04  1.348197e-04
-3.068626  6.701780e-04  1.489495e-04  1.475815e-04  3.154343e-04  1.337936e-04  1.348578e-04
-3.066325  6.711623e-04  1.490179e-04  1.476493e-04  3.157044e-04  1.338310e-04  1.348954e-04
-3.064024  6.721441e-04  1.490859e-04  1.477167e-04  3.159740e-04  1.338680e-04  1.349327e-04
-3.061723  6.731235e-04  1.491535e-04  1.477836e-04  3.162429e-04  1.339047e-04  1.349697e-04
-3.059422  6.741006e-04  1.492206e-04  1.478502e-04  3.165111e-04  1.339410e-04  1.350063e-04
-3.057121  6.750752e-04  1.492874e-04  1.479163e-04  3.167787e-04  1.339770e-04  1.350426e-04
-3.054820  6.760474e-04  1.493537e-04  1.479820e-04  3.170457e-04  1.340126e-04  1.350785e-04
-3.052519  6.770172e-04  1.494196e-04  1.480473e-04  3.173120e-04  1.340479e-04  1.351140e-04
-3.050218  6.779846e-04  1.494850e-04  1.481121e-04  3.175776e-04  1.340828e-04  1.351492e-04
-3.047917  6.789496e-04  1.495501e-04  1.481766e-04  3.178426e-04  1.341174e-04  1.351841e-04
-3.045616  6.799121e-04  1.496147e-04  1.482407e-04  3.181070e-04  1.341517e-04  1.352186e-04
-3.043315  6.808722e-04  1.496790e-04  1.483043e-04  3.183707e-04  1.341856e-04  1.352528e-04
-3.041014  6.818298e-04  1.497428e-04  1.483675e-04  3.186337e-04  1.342192e-04  1.352867e-04
-3.038713  6.827850e-04  1.498062e-04  1.484304e-04  3.188961e-04  1.342524e-04  1.353202e-04
-3.036412  6.837378e-04  1.498692e-04  1.484928e-04  3.191579e-04  1.342854e-04  1.353534e-04
-3.034111  6.846881e-04  1.499318e-04  1.485548e-04  3.194189e-04  1.343180e-04  1.353863e-04
-3.031809  6.856359e-04  1.499940e-04  1.486165e-04  3.196794e-04  1.343503e-04  1.354188e-04
-3.029508  6.865813e-04  1.500558e-04  1.486777e-04  3.199392e-04  1.343822e-04  1.354511e-04
-3.027207  6.875242e-04  1.501172e-04  1.487385e-04  3.201983e-04  1.344139e-04  1.354830e-04
-3.024906  6.884647e-04  1.501782e-04  1.487990e-04  3.204568e-04  1.344452e-04  1.355145e-04
-3.022605  6.894027e-04  1.502389e-04  1.488590e-04  3.207146e-04  1.344762e-04  1.355458e-04
-3.020304  6.903381e-04  1.502991e-04  1.489187e-04  3.209718e-04  1.345069e-04  1.355767e-04
-3.018003  6.912712e-04  1.503589e-04  1.489780e-04  3.212283e-04  1.345373e-04  1.356074e-04
-3.015702  6.922017e-04  1.504184e-04  1.490369e-04  3.214842e-04  1.345674e-04  1.356377e-04
-3.013401  6.931297e-04  1.504774e-04  1.490954e-04  3.217394e-04  1.345972e-04  1.356677e-04
-3.011100  6.940553e-04  1.505361e-04  1.491536e-04  3.219940e-04  1.346267e-04  1.356974e-04
-3.008799  6.949783e-04  1.505944e-04  1.492113e-04  3.222479e-04  1.346558e-04  1.357268e-04
-3.006498  6.958989e-04  1.506523e-04  1.492687e-04  3.225012e-04  1.346847e-04  1.357559e-04
-3.004197  6.968170e-04  1.507099e-04  1.493257e-04  3.227538e-04  1.347133e-04  1.357847e-04
-3.001896  6.977325e-04  1.507670e-04  1.493824e-04  3.230058e-04  1.347416e-04  1.358132e-04
-2.999595  6.986456e-04  1.508238e-04  1.494386e-04  3.232571e-04  1.347695e-04  1.358414e-04
-2.997294  6.995561e-04  1.508802e-04  1.494945e-04  3.235077e-04  1.347972e-04  1.358693e-04
-2.994993  7.004641e-04  1.509363e-04  1.495501e-04  3.237577e-04  1.348246e-04  1.358970e-04
-2.992692  7.013696e-04  1.509920e-04  1.496052e-04  3.240071e-04  1.348517e-04  1.359243e-04
-2.990391  7.022726e-04  1.510473e-04  1.496600e-04  3.242558e-04  1.348786e-04  1.359513e-04
-2.988090  7.031731e-04  1.511022e-04  1.497145e-04  3.245038e-04  1.349051e-04  1.359781e-04
-2.985789  7.040711e-04  1.511568e-04  1.497686e-04  3.247512e-04  1.349314e-04  1.360046e-04
-2.983488  7.049665e-04  1.512111e-04  1.498223e-04  3.249980e-04  1.349574e-04  1.360308e-04
-2.981187  7.058594e-04  1.512649e-04  1.498757e-04  3.252441e-04  1.349831e-04  1.360567e-04
-2.978886  7.067498e-04  1.513184e-04  1.499287e-04  3.254895e-04  1.350085e-04  1.360823e-04
-2.976585  7.076376e-04  1.513716e-04  1.499814e-04  3.257343e-04  1.350337e-04  1.361077e-04
-2.974284  7.085229e-04  1.514244e-04  1.500337e-04  3.259784e-04  1.350586e-04  1.361328e-04
-2.971983  7.094057e-04  1.514769e-04  1.500857e-04  3.262219e-04  1.350832e-04  1.361576e-04
-2.969682  7.102859e-04  1.515290e-04  1.501373e-04  3.264647e-04  1.351075e-04  1.361821e-04
-2.967381  7.111636e-04  1.515807e-04  1.501886e-04  3.267069e-04  1.351316e-04  1.362064e-04
-2.965080  7.120388e-04  1.516321e-04  1.502395e-04  3.269484e-04  1.351554e-04  1.362304e-04
-2.962779  7.129114e-04  1.516832e-04  1.502901e-04  3.271893e-04  1.351790e-04  1.362542e-04
-2.960478  7.137815e-04  1.517339e-04  1.503404e-04  3.274295e-04  1.352023e-04  1.362776e-04
-2.958177  7.146490e-04  1.517843e-04  1.503903e-04  3.276690e-04  1.352253e-04  1.363009e-04
-2.955875  7.155140e-04  1.518344e-04  1.504399e-04  3.279080e-04  1.352481e-04  1.363238e-04
-2.953574  7.163764e-04  1.518841e-04  1.504892e-04  3.281462e-04  1.352707e-04  1.363466e-04
-2.951273  7.172363e-04  1.519335e-04  1.505381e-04  3.283838e-04  1.352930e-04  1.363690e-04
-2.948972  7.180937e-04  1.519826e-04  1.505867e-04  3.286208e-04  1.353150e-04  1.363912e-04
-2.946671  7.189484e-04  1.520313e-04  1.506350e-04  3.288571e-04  1.353368e-04  1.364132e-04
-2.944370  7.198007e-04  1.520797e-04  1.506830e-04  3.290927e-04  1.353583e-04  1.364349e-04
-2.942069  7.206504e-04  1.521278e-04  1.507306e-04  3.293277e-04  1.353796e-04  1.364564e-04
-2.939768  7.214975e-04  1.521755e-04  1.507779e-04  3.295620e-04  1.354007e-04  1.364776e-04
-2.937467  7.223421e-04  1.522229e-04  1.508249e-04  3.297957e-04  1.354215e-04  1.364986e-04
-2.935166  7.231841e-04  1.522700e-04  1.508716e-04  3.300288e-04  1.354421e-04  1.365193e-04
-2.932865  7.240236e-04  1.523168e-04  1.509179e-04  3.302611e-04  1.354624e-04  1.365398e-04
-2.930564  7.248605e-04  1.523633e-04  1.509639e-04  3.304929e-04  1.354825e-04  1.365601e-04
-2.928263  7.256949e-04  1.524094e-04  1.510097e-04  3.307240e-04  1.355024e-04  1.365801e-04
-2.925962  7.265267e-04  1.524553e-04  1.510551e-04  3.309544e-04  1.355220e-04  1.365999e-04
-2.923661  7.273559e-04  1.525008e-04  1.511002e-04  3.311842e-04  1.355415e-04  1.366195e-04
-2.921360  7.281826e-04  1.525460e-04  1.511450e-04  3.314133e-04  1.355606e-04  1.366388e-04
-2.919059  7.290068e-04  1.525909e-04  1.511895e-04  3.316418e-04  1.355796e-04  1.366579e-04
-2.916758  7.298283e-04  1.526355e-04  1.512337e-04  3.318696e-04  1.355983e-04  1.366768e-04
-2.914457  7.306474e-04  1.526798e-04  1.512776e-04  3.320968e-04  1.356169e-04  1.366955e-04
