# Neutrino-Ar CEvNS cross section (10^-38 cm^2/GeV, natural abundance) # 
# log(energy in GeV)  nu_e      nu_mu      nu_tau      nu_e_bar      nu_mu_bar    nu_tau_bar # 

-3.167704   7.706371e-02   7.706371e-02   7.706371e-02   7.706371e-02   7.706371e-02   7.706371e-02
-3.165405   7.789201e-02   7.789201e-02   7.789201e-02   7.789201e-02   7.789201e-02   7.789201e-02
-3.163106   7.869648e-02   7.869648e-02   7.869648e-02   7.869648e-02   7.869648e-02   7.869648e-02
-3.160807   7.947756e-02   7.947756e-02   7.947756e-02   7.947756e-02   7.947756e-02   7.947756e-02
-3.158509   8.023566e-02   8.023566e-02   8.023566e-02   8.023566e-02   8.023566e-02   8.023566e-02
-3.156210   8.097121e-02   8.097121e-02   8.097121e-02   8.097121e-02   8.097121e-02   8.097121e-02
-3.153911   8.168461e-02   8.168461e-02   8.168461e-02   8.168461e-02   8.168461e-02   8.168461e-02
-3.151612   8.237628e-02   8.237628e-02   8.237628e-02   8.237628e-02   8.237628e-02   8.237628e-02
-3.149314   8.304661e-02   8.304661e-02   8.304661e-02   8.304661e-02   8.304661e-02   8.304661e-02
-3.147015   8.369781e-02   8.369781e-02   8.369781e-02   8.369781e-02   8.369781e-02   8.369781e-02
-3.144716   8.432849e-02   8.432849e-02   8.432849e-02   8.432849e-02   8.432849e-02   8.432849e-02
-3.142418   8.493895e-02   8.493895e-02   8.493895e-02   8.493895e-02   8.493895e-02   8.493895e-02
-3.140119   8.552956e-02   8.552956e-02   8.552956e-02   8.552956e-02   8.552956e-02   8.552956e-02
-3.137820   8.610068e-02   8.610068e-02   8.610068e-02   8.610068e-02   8.610068e-02   8.610068e-02
-3.135521   8.665307e-02   8.665307e-02   8.665307e-02   8.665307e-02   8.665307e-02   8.665307e-02
-3.133223   8.718675e-02   8.718675e-02   8.718675e-02   8.718675e-02   8.718675e-02   8.718675e-02
-3.130924   8.770200e-02   8.770200e-02   8.770200e-02   8.770200e-02   8.770200e-02   8.770200e-02
-3.128625   8.819917e-02   8.819917e-02   8.819917e-02   8.819917e-02   8.819917e-02   8.819917e-02
-3.126326   8.868419e-02   8.868419e-02   8.868419e-02   8.868419e-02   8.868419e-02   8.868419e-02
-3.124028   9.007194e-02   9.007194e-02   9.007194e-02   9.007194e-02   9.007194e-02   9.007194e-02
-3.121729   9.142312e-02   9.142312e-02   9.142312e-02   9.142312e-02   9.142312e-02   9.142312e-02
-3.119430   9.273839e-02   9.273839e-02   9.273839e-02   9.273839e-02   9.273839e-02   9.273839e-02
-3.117131   9.401840e-02   9.401840e-02   9.401840e-02   9.401840e-02   9.401840e-02   9.401840e-02
-3.114833   9.526377e-02   9.526377e-02   9.526377e-02   9.526377e-02   9.526377e-02   9.526377e-02
-3.112534   9.647513e-02   9.647513e-02   9.647513e-02   9.647513e-02   9.647513e-02   9.647513e-02
-3.110235   9.765309e-02   9.765309e-02   9.765309e-02   9.765309e-02   9.765309e-02   9.765309e-02
-3.107937   9.879825e-02   9.879825e-02   9.879825e-02   9.879825e-02   9.879825e-02   9.879825e-02
-3.105638   9.991120e-02   9.991120e-02   9.991120e-02   9.991120e-02   9.991120e-02   9.991120e-02
-3.103339   1.009925e-01   1.009925e-01   1.009925e-01   1.009925e-01   1.009925e-01   1.009925e-01
-3.101040   1.020428e-01   1.020428e-01   1.020428e-01   1.020428e-01   1.020428e-01   1.020428e-01
-3.098742   1.030626e-01   1.030626e-01   1.030626e-01   1.030626e-01   1.030626e-01   1.030626e-01
-3.096443   1.040524e-01   1.040524e-01   1.040524e-01   1.040524e-01   1.040524e-01   1.040524e-01
-3.094144   1.050129e-01   1.050129e-01   1.050129e-01   1.050129e-01   1.050129e-01   1.050129e-01
-3.091845   1.059445e-01   1.059445e-01   1.059445e-01   1.059445e-01   1.059445e-01   1.059445e-01
-3.089547   1.068478e-01   1.068478e-01   1.068478e-01   1.068478e-01   1.068478e-01   1.068478e-01
-3.087248   1.077233e-01   1.077233e-01   1.077233e-01   1.077233e-01   1.077233e-01   1.077233e-01
-3.084949   1.085727e-01   1.085727e-01   1.085727e-01   1.085727e-01   1.085727e-01   1.085727e-01
-3.082651   1.093957e-01   1.093957e-01   1.093957e-01   1.093957e-01   1.093957e-01   1.093957e-01
-3.080352   1.101924e-01   1.101924e-01   1.101924e-01   1.101924e-01   1.101924e-01   1.101924e-01
-3.078053   1.109632e-01   1.109632e-01   1.109632e-01   1.109632e-01   1.109632e-01   1.109632e-01
-3.075754   1.117086e-01   1.117086e-01   1.117086e-01   1.117086e-01   1.117086e-01   1.117086e-01
-3.073456   1.124294e-01   1.124294e-01   1.124294e-01   1.124294e-01   1.124294e-01   1.124294e-01
-3.071157   1.131259e-01   1.131259e-01   1.131259e-01   1.131259e-01   1.131259e-01   1.131259e-01
-3.068858   1.137984e-01   1.137984e-01   1.137984e-01   1.137984e-01   1.137984e-01   1.137984e-01
-3.066559   1.144473e-01   1.144473e-01   1.144473e-01   1.144473e-01   1.144473e-01   1.144473e-01
-3.064261   1.150731e-01   1.150731e-01   1.150731e-01   1.150731e-01   1.150731e-01   1.150731e-01
-3.061962   1.163427e-01   1.163427e-01   1.163427e-01   1.163427e-01   1.163427e-01   1.163427e-01
-3.059663   1.177113e-01   1.177113e-01   1.177113e-01   1.177113e-01   1.177113e-01   1.177113e-01
-3.057364   1.190414e-01   1.190414e-01   1.190414e-01   1.190414e-01   1.190414e-01   1.190414e-01
-3.055066   1.203337e-01   1.203337e-01   1.203337e-01   1.203337e-01   1.203337e-01   1.203337e-01
-3.052767   1.215889e-01   1.215889e-01   1.215889e-01   1.215889e-01   1.215889e-01   1.215889e-01
-3.050468   1.228077e-01   1.228077e-01   1.228077e-01   1.228077e-01   1.228077e-01   1.228077e-01
-3.048170   1.239908e-01   1.239908e-01   1.239908e-01   1.239908e-01   1.239908e-01   1.239908e-01
-3.045871   1.251388e-01   1.251388e-01   1.251388e-01   1.251388e-01   1.251388e-01   1.251388e-01
-3.043572   1.262523e-01   1.262523e-01   1.262523e-01   1.262523e-01   1.262523e-01   1.262523e-01
-3.041273   1.273320e-01   1.273320e-01   1.273320e-01   1.273320e-01   1.273320e-01   1.273320e-01
-3.038975   1.283785e-01   1.283785e-01   1.283785e-01   1.283785e-01   1.283785e-01   1.283785e-01
-3.036676   1.293935e-01   1.293935e-01   1.293935e-01   1.293935e-01   1.293935e-01   1.293935e-01
-3.034377   1.303768e-01   1.303768e-01   1.303768e-01   1.303768e-01   1.303768e-01   1.303768e-01
-3.032078   1.313287e-01   1.313287e-01   1.313287e-01   1.313287e-01   1.313287e-01   1.313287e-01
-3.029780   1.322498e-01   1.322498e-01   1.322498e-01   1.322498e-01   1.322498e-01   1.322498e-01
-3.027481   1.331405e-01   1.331405e-01   1.331405e-01   1.331405e-01   1.331405e-01   1.331405e-01
-3.025182   1.340018e-01   1.340018e-01   1.340018e-01   1.340018e-01   1.340018e-01   1.340018e-01
-3.022884   1.348339e-01   1.348339e-01   1.348339e-01   1.348339e-01   1.348339e-01   1.348339e-01
-3.020585   1.356375e-01   1.356375e-01   1.356375e-01   1.356375e-01   1.356375e-01   1.356375e-01
