# Neutrino-40Ar neutral current cross section (10^-38 cm^2/GeV) #
# log(energy in GeV)  nu_e      nu_mu      nu_tau      nu_e_bar      nu_mu_bar    nu_tau_bar #

-1.934115  9.922208e-05  9.922208e-05  9.922208e-05  9.922208e-05  9.922208e-05  9.922208e-05
-1.932805  1.026549e-04  1.026549e-04  1.026549e-04  1.026549e-04  1.026549e-04  1.026549e-04
-1.931495  1.061466e-04  1.061466e-04  1.061466e-04  1.061466e-04  1.061466e-04  1.061466e-04
-1.930186  1.096972e-04  1.096972e-04  1.096972e-04  1.096972e-04  1.096972e-04  1.096972e-04
-1.928876  1.133067e-04  1.133067e-04  1.133067e-04  1.133067e-04  1.133067e-04  1.133067e-04
-1.927566  1.169751e-04  1.169751e-04  1.169751e-04  1.169751e-04  1.169751e-04  1.169751e-04
-1.926256  1.207026e-04  1.207026e-04  1.207026e-04  1.207026e-04  1.207026e-04  1.207026e-04
-1.924946  1.244890e-04  1.244890e-04  1.244890e-04  1.244890e-04  1.244890e-04  1.244890e-04
-1.923637  1.283345e-04  1.283345e-04  1.283345e-04  1.283345e-04  1.283345e-04  1.283345e-04
-1.922327  1.322391e-04  1.322391e-04  1.322391e-04  1.322391e-04  1.322391e-04  1.322391e-04
-1.921017  1.362028e-04  1.362028e-04  1.362028e-04  1.362028e-04  1.362028e-04  1.362028e-04
-1.919707  1.402257e-04  1.402257e-04  1.402257e-04  1.402257e-04  1.402257e-04  1.402257e-04
-1.918397  1.443077e-04  1.443077e-04  1.443077e-04  1.443077e-04  1.443077e-04  1.443077e-04
-1.917088  1.484490e-04  1.484490e-04  1.484490e-04  1.484490e-04  1.484490e-04  1.484490e-04
-1.915778  1.526496e-04  1.526496e-04  1.526496e-04  1.526496e-04  1.526496e-04  1.526496e-04
-1.914468  1.569095e-04  1.569095e-04  1.569095e-04  1.569095e-04  1.569095e-04  1.569095e-04
-1.913158  1.612287e-04  1.612287e-04  1.612287e-04  1.612287e-04  1.612287e-04  1.612287e-04
-1.911848  1.656073e-04  1.656073e-04  1.656073e-04  1.656073e-04  1.656073e-04  1.656073e-04
-1.910539  1.700453e-04  1.700453e-04  1.700453e-04  1.700453e-04  1.700453e-04  1.700453e-04
-1.909229  1.745428e-04  1.745428e-04  1.745428e-04  1.745428e-04  1.745428e-04  1.745428e-04
-1.907919  1.790998e-04  1.790998e-04  1.790998e-04  1.790998e-04  1.790998e-04  1.790998e-04
-1.906609  1.837164e-04  1.837164e-04  1.837164e-04  1.837164e-04  1.837164e-04  1.837164e-04
-1.905299  1.883925e-04  1.883925e-04  1.883925e-04  1.883925e-04  1.883925e-04  1.883925e-04
-1.903990  1.931283e-04  1.931283e-04  1.931283e-04  1.931283e-04  1.931283e-04  1.931283e-04
-1.902680  1.979238e-04  1.979238e-04  1.979238e-04  1.979238e-04  1.979238e-04  1.979238e-04
-1.901370  2.027789e-04  2.027789e-04  2.027789e-04  2.027789e-04  2.027789e-04  2.027789e-04
-1.900060  2.076939e-04  2.076939e-04  2.076939e-04  2.076939e-04  2.076939e-04  2.076939e-04
-1.898750  2.126686e-04  2.126686e-04  2.126686e-04  2.126686e-04  2.126686e-04  2.126686e-04
-1.897441  2.177032e-04  2.177032e-04  2.177032e-04  2.177032e-04  2.177032e-04  2.177032e-04
-1.896131  2.227977e-04  2.227977e-04  2.227977e-04  2.227977e-04  2.227977e-04  2.227977e-04
-1.894821  2.279522e-04  2.279522e-04  2.279522e-04  2.279522e-04  2.279522e-04  2.279522e-04
-1.893511  2.331666e-04  2.331666e-04  2.331666e-04  2.331666e-04  2.331666e-04  2.331666e-04
-1.892201  2.384411e-04  2.384411e-04  2.384411e-04  2.384411e-04  2.384411e-04  2.384411e-04
