# Electron neutrino-oxygen charged-current cross section 5MeV-100MeV (10^-38 cm^2/GeV)
# Based on arXiv:1807.02367 (calculations) and arXiv:1809.08398 (fit).
# log(energy in GeV)      nu_e         nu_mu      nu_tau   nu_e_bar  nu_mu_bar  nu_tau_bar

     -2.148809         0.00000e+00       0          0          0          0          0     
     -2.147508         0.00000e+00       0          0          0          0          0     
     -2.146207         0.00000e+00       0          0          0          0          0     
     -2.144906         0.00000e+00       0          0          0          0          0     
     -2.143605         0.00000e+00       0          0          0          0          0     
     -2.142304         0.00000e+00       0          0          0          0          0     
     -2.141003         0.00000e+00       0          0          0          0          0     
     -2.139702         0.00000e+00       0          0          0          0          0     
     -2.138401         0.00000e+00       0          0          0          0          0     
     -2.137100         0.00000e+00       0          0          0          0          0     
     -2.135799         0.00000e+00       0          0          0          0          0     
     -2.134498         0.00000e+00       0          0          0          0          0     
     -2.133197         0.00000e+00       0          0          0          0          0     
     -2.131896         0.00000e+00       0          0          0          0          0     
     -2.130595         0.00000e+00       0          0          0          0          0     
     -2.129294         0.00000e+00       0          0          0          0          0     
     -2.127993         0.00000e+00       0          0          0          0          0     
     -2.126692         0.00000e+00       0          0          0          0          0     
     -2.125391         0.00000e+00       0          0          0          0          0     
     -2.124090         0.00000e+00       0          0          0          0          0     
     -2.122789         0.00000e+00       0          0          0          0          0     
     -2.121488         0.00000e+00       0          0          0          0          0     
     -2.120187         0.00000e+00       0          0          0          0          0     
     -2.118886         0.00000e+00       0          0          0          0          0     
     -2.117585         0.00000e+00       0          0          0          0          0     
     -2.116284         0.00000e+00       0          0          0          0          0     
     -2.114983         0.00000e+00       0          0          0          0          0     
     -2.113682         0.00000e+00       0          0          0          0          0     
     -2.112381         0.00000e+00       0          0          0          0          0     
     -2.111080         0.00000e+00       0          0          0          0          0     
     -2.109779         0.00000e+00       0          0          0          0          0     
     -2.108478         0.00000e+00       0          0          0          0          0     
     -2.107177         0.00000e+00       0          0          0          0          0     
     -2.105875         0.00000e+00       0          0          0          0          0     
     -2.104574         0.00000e+00       0          0          0          0          0     
     -2.103273         0.00000e+00       0          0          0          0          0     
     -2.101972         0.00000e+00       0          0          0          0          0     
     -2.100671         0.00000e+00       0          0          0          0          0     
     -2.099370         0.00000e+00       0          0          0          0          0     
     -2.098069         0.00000e+00       0          0          0          0          0     
     -2.096768         0.00000e+00       0          0          0          0          0     
     -2.095467         0.00000e+00       0          0          0          0          0     
     -2.094166         0.00000e+00       0          0          0          0          0     
     -2.092865         0.00000e+00       0          0          0          0          0     
     -2.091564         0.00000e+00       0          0          0          0          0     
     -2.090263         0.00000e+00       0          0          0          0          0     
     -2.088962         0.00000e+00       0          0          0          0          0     
     -2.087661         0.00000e+00       0          0          0          0          0     
     -2.086360         0.00000e+00       0          0          0          0          0     
     -2.085059         0.00000e+00       0          0          0          0          0     
     -2.083758         0.00000e+00       0          0          0          0          0     
     -2.082457         0.00000e+00       0          0          0          0          0     
     -2.081156         0.00000e+00       0          0          0          0          0     
     -2.079855         0.00000e+00       0          0          0          0          0     
     -2.078554         0.00000e+00       0          0          0          0          0     
     -2.077253         0.00000e+00       0          0          0          0          0     
     -2.075952         0.00000e+00       0          0          0          0          0     
     -2.074651         0.00000e+00       0          0          0          0          0     
     -2.073350         0.00000e+00       0          0          0          0          0     
     -2.072049         0.00000e+00       0          0          0          0          0     
     -2.070748         0.00000e+00       0          0          0          0          0     
     -2.069447         0.00000e+00       0          0          0          0          0     
     -2.068146         0.00000e+00       0          0          0          0          0     
     -2.066845         0.00000e+00       0          0          0          0          0     
     -2.065544         0.00000e+00       0          0          0          0          0     
     -2.064243         0.00000e+00       0          0          0          0          0     
     -2.062942         0.00000e+00       0          0          0          0          0     
     -2.061640         0.00000e+00       0          0          0          0          0     
     -2.060339         0.00000e+00       0          0          0          0          0     
     -2.059038         0.00000e+00       0          0          0          0          0     
     -2.057737         0.00000e+00       0          0          0          0          0     
     -2.056436         0.00000e+00       0          0          0          0          0     
     -2.055135         0.00000e+00       0          0          0          0          0     
     -2.053834         0.00000e+00       0          0          0          0          0     
     -2.052533         0.00000e+00       0          0          0          0          0     
     -2.051232         0.00000e+00       0          0          0          0          0     
     -2.049931         0.00000e+00       0          0          0          0          0     
     -2.048630         0.00000e+00       0          0          0          0          0     
     -2.047329         0.00000e+00       0          0          0          0          0     
     -2.046028         0.00000e+00       0          0          0          0          0     
     -2.044727         0.00000e+00       0          0          0          0          0     
     -2.043426         0.00000e+00       0          0          0          0          0     
     -2.042125         0.00000e+00       0          0          0          0          0     
     -2.040824         0.00000e+00       0          0          0          0          0     
     -2.039523         0.00000e+00       0          0          0          0          0     
     -2.038222         0.00000e+00       0          0          0          0          0     
     -2.036921         0.00000e+00       0          0          0          0          0     
     -2.035620         0.00000e+00       0          0          0          0          0     
     -2.034319         0.00000e+00       0          0          0          0          0     
     -2.033018         0.00000e+00       0          0          0          0          0     
     -2.031717         0.00000e+00       0          0          0          0          0     
     -2.030416         0.00000e+00       0          0          0          0          0     
     -2.029115         0.00000e+00       0          0          0          0          0     
     -2.027814         0.00000e+00       0          0          0          0          0     
     -2.026513         0.00000e+00       0          0          0          0          0     
     -2.025212         0.00000e+00       0          0          0          0          0     
     -2.023911         0.00000e+00       0          0          0          0          0     
     -2.022610         0.00000e+00       0          0          0          0          0     
     -2.021309         0.00000e+00       0          0          0          0          0     
     -2.020008         0.00000e+00       0          0          0          0          0     
     -2.018706         0.00000e+00       0          0          0          0          0     
     -2.017405         0.00000e+00       0          0          0          0          0     
     -2.016104         0.00000e+00       0          0          0          0          0     
     -2.014803         0.00000e+00       0          0          0          0          0     
     -2.013502         0.00000e+00       0          0          0          0          0     
     -2.012201         0.00000e+00       0          0          0          0          0     
     -2.010900         0.00000e+00       0          0          0          0          0     
     -2.009599         0.00000e+00       0          0          0          0          0     
     -2.008298         0.00000e+00       0          0          0          0          0     
     -2.006997         0.00000e+00       0          0          0          0          0     
     -2.005696         0.00000e+00       0          0          0          0          0     
     -2.004395         0.00000e+00       0          0          0          0          0     
     -2.003094         0.00000e+00       0          0          0          0          0     
     -2.001793         0.00000e+00       0          0          0          0          0     
     -2.000492         0.00000e+00       0          0          0          0          0     
     -1.999191         0.00000e+00       0          0          0          0          0     
     -1.997890         0.00000e+00       0          0          0          0          0     
     -1.996589         0.00000e+00       0          0          0          0          0     
     -1.995288         0.00000e+00       0          0          0          0          0     
     -1.993987         0.00000e+00       0          0          0          0          0     
     -1.992686         0.00000e+00       0          0          0          0          0     
     -1.991385         0.00000e+00       0          0          0          0          0     
     -1.990084         0.00000e+00       0          0          0          0          0     
     -1.988783         0.00000e+00       0          0          0          0          0     
     -1.987482         0.00000e+00       0          0          0          0          0     
     -1.986181         0.00000e+00       0          0          0          0          0     
     -1.984880         0.00000e+00       0          0          0          0          0     
     -1.983579         0.00000e+00       0          0          0          0          0     
     -1.982278         0.00000e+00       0          0          0          0          0     
     -1.980977         0.00000e+00       0          0          0          0          0     
     -1.979676         0.00000e+00       0          0          0          0          0     
     -1.978375         0.00000e+00       0          0          0          0          0     
     -1.977074         0.00000e+00       0          0          0          0          0     
     -1.975772         0.00000e+00       0          0          0          0          0     
     -1.974471         0.00000e+00       0          0          0          0          0     
     -1.973170         0.00000e+00       0          0          0          0          0     
     -1.971869         0.00000e+00       0          0          0          0          0     
     -1.970568         0.00000e+00       0          0          0          0          0     
     -1.969267         0.00000e+00       0          0          0          0          0     
     -1.967966         0.00000e+00       0          0          0          0          0     
     -1.966665         0.00000e+00       0          0          0          0          0     
     -1.965364         0.00000e+00       0          0          0          0          0     
     -1.964063         0.00000e+00       0          0          0          0          0     
     -1.962762         0.00000e+00       0          0          0          0          0     
     -1.961461         0.00000e+00       0          0          0          0          0     
     -1.960160         0.00000e+00       0          0          0          0          0     
     -1.958859         0.00000e+00       0          0          0          0          0     
     -1.957558         0.00000e+00       0          0          0          0          0     
     -1.956257         0.00000e+00       0          0          0          0          0     
     -1.954956         0.00000e+00       0          0          0          0          0     
     -1.953655         0.00000e+00       0          0          0          0          0     
     -1.952354         0.00000e+00       0          0          0          0          0     
     -1.951053         0.00000e+00       0          0          0          0          0     
     -1.949752         0.00000e+00       0          0          0          0          0     
     -1.948451         0.00000e+00       0          0          0          0          0     
     -1.947150         0.00000e+00       0          0          0          0          0     
     -1.945849         0.00000e+00       0          0          0          0          0     
     -1.944548         0.00000e+00       0          0          0          0          0     
     -1.943247         0.00000e+00       0          0          0          0          0     
     -1.941946         0.00000e+00       0          0          0          0          0     
     -1.940645         0.00000e+00       0          0          0          0          0     
     -1.939344         0.00000e+00       0          0          0          0          0     
     -1.938043         0.00000e+00       0          0          0          0          0     
     -1.936742         0.00000e+00       0          0          0          0          0     
     -1.935441         0.00000e+00       0          0          0          0          0     
     -1.934140         0.00000e+00       0          0          0          0          0     
     -1.932839         0.00000e+00       0          0          0          0          0     
     -1.931537         0.00000e+00       0          0          0          0          0     
     -1.930236         0.00000e+00       0          0          0          0          0     
     -1.928935         0.00000e+00       0          0          0          0          0     
     -1.927634         0.00000e+00       0          0          0          0          0     
     -1.926333         0.00000e+00       0          0          0          0          0     
     -1.925032         0.00000e+00       0          0          0          0          0     
     -1.923731         0.00000e+00       0          0          0          0          0     
     -1.922430         0.00000e+00       0          0          0          0          0     
     -1.921129         0.00000e+00       0          0          0          0          0     
     -1.919828         0.00000e+00       0          0          0          0          0     
     -1.918527         0.00000e+00       0          0          0          0          0     
     -1.917226         0.00000e+00       0          0          0          0          0     
     -1.915925         0.00000e+00       0          0          0          0          0     
     -1.914624         0.00000e+00       0          0          0          0          0     
     -1.913323         0.00000e+00       0          0          0          0          0     
     -1.912022         0.00000e+00       0          0          0          0          0     
     -1.910721         0.00000e+00       0          0          0          0          0     
     -1.909420         0.00000e+00       0          0          0          0          0     
     -1.908119         0.00000e+00       0          0          0          0          0     
     -1.906818         0.00000e+00       0          0          0          0          0     
     -1.905517         0.00000e+00       0          0          0          0          0     
     -1.904216         0.00000e+00       0          0          0          0          0     
     -1.902915         0.00000e+00       0          0          0          0          0     
     -1.901614         0.00000e+00       0          0          0          0          0     
     -1.900313         0.00000e+00       0          0          0          0          0     
     -1.899012         0.00000e+00       0          0          0          0          0     
     -1.897711         0.00000e+00       0          0          0          0          0     
     -1.896410         0.00000e+00       0          0          0          0          0     
     -1.895109         0.00000e+00       0          0          0          0          0     
     -1.893808         0.00000e+00       0          0          0          0          0     
     -1.892507         0.00000e+00       0          0          0          0          0     
     -1.891206         0.00000e+00       0          0          0          0          0     
     -1.889905         0.00000e+00       0          0          0          0          0     
     -1.888603         0.00000e+00       0          0          0          0          0     
     -1.887302         0.00000e+00       0          0          0          0          0     
     -1.886001         0.00000e+00       0          0          0          0          0     
     -1.884700         0.00000e+00       0          0          0          0          0     
     -1.883399         0.00000e+00       0          0          0          0          0     
     -1.882098         0.00000e+00       0          0          0          0          0     
     -1.880797         0.00000e+00       0          0          0          0          0     
     -1.879496         0.00000e+00       0          0          0          0          0     
     -1.878195         0.00000e+00       0          0          0          0          0     
     -1.876894         0.00000e+00       0          0          0          0          0     
     -1.875593         0.00000e+00       0          0          0          0          0     
     -1.874292         0.00000e+00       0          0          0          0          0     
     -1.872991         0.00000e+00       0          0          0          0          0     
     -1.871690         0.00000e+00       0          0          0          0          0     
     -1.870389         0.00000e+00       0          0          0          0          0     
     -1.869088         0.00000e+00       0          0          0          0          0     
     -1.867787         0.00000e+00       0          0          0          0          0     
     -1.866486         0.00000e+00       0          0          0          0          0     
     -1.865185         0.00000e+00       0          0          0          0          0     
     -1.863884         0.00000e+00       0          0          0          0          0     
     -1.862583         0.00000e+00       0          0          0          0          0     
     -1.861282         0.00000e+00       0          0          0          0          0     
     -1.859981         0.00000e+00       0          0          0          0          0     
     -1.858680         0.00000e+00       0          0          0          0          0     
     -1.857379         0.00000e+00       0          0          0          0          0     
     -1.856078         0.00000e+00       0          0          0          0          0     
     -1.854777         0.00000e+00       0          0          0          0          0     
     -1.853476         0.00000e+00       0          0          0          0          0     
     -1.852175         0.00000e+00       0          0          0          0          0     
     -1.850874         0.00000e+00       0          0          0          0          0     
     -1.849573         0.00000e+00       0          0          0          0          0     
     -1.848272         0.00000e+00       0          0          0          0          0     
     -1.846971         0.00000e+00       0          0          0          0          0     
     -1.845669         0.00000e+00       0          0          0          0          0     
     -1.844368         0.00000e+00       0          0          0          0          0     
     -1.843067         0.00000e+00       0          0          0          0          0     
     -1.841766         0.00000e+00       0          0          0          0          0     
     -1.840465         0.00000e+00       0          0          0          0          0     
     -1.839164         0.00000e+00       0          0          0          0          0     
     -1.837863         0.00000e+00       0          0          0          0          0     
     -1.836562         0.00000e+00       0          0          0          0          0     
     -1.835261         0.00000e+00       0          0          0          0          0     
     -1.833960         0.00000e+00       0          0          0          0          0     
     -1.832659         0.00000e+00       0          0          0          0          0     
     -1.831358         0.00000e+00       0          0          0          0          0     
     -1.830057         0.00000e+00       0          0          0          0          0     
     -1.828756         0.00000e+00       0          0          0          0          0     
     -1.827455         0.00000e+00       0          0          0          0          0     
     -1.826154         0.00000e+00       0          0          0          0          0     
     -1.824853         0.00000e+00       0          0          0          0          0     
     -1.823552         0.00000e+00       0          0          0          0          0     
     -1.822251         0.00000e+00       0          0          0          0          0     
     -1.820950         0.00000e+00       0          0          0          0          0     
     -1.819649         0.00000e+00       0          0          0          0          0     
     -1.818348         0.00000e+00       0          0          0          0          0     
     -1.817047         0.00000e+00       0          0          0          0          0     
     -1.815746         0.00000e+00       0          0          0          0          0     
     -1.814445         0.00000e+00       0          0          0          0          0     
     -1.813144         0.00000e+00       0          0          0          0          0     
     -1.811843         0.00000e+00       0          0          0          0          0     
     -1.810542         0.00000e+00       0          0          0          0          0     
     -1.809241         0.00000e+00       0          0          0          0          0     
     -1.807940         0.00000e+00       0          0          0          0          0     
     -1.806639         0.00000e+00       0          0          0          0          0     
     -1.805338         0.00000e+00       0          0          0          0          0     
     -1.804037         0.00000e+00       0          0          0          0          0     
     -1.802736         0.00000e+00       0          0          0          0          0     
     -1.801434         0.00000e+00       0          0          0          0          0     
     -1.800133         0.00000e+00       0          0          0          0          0     
     -1.798832         0.00000e+00       0          0          0          0          0     
     -1.797531         0.00000e+00       0          0          0          0          0     
     -1.796230         0.00000e+00       0          0          0          0          0     
