nue_e 0 + e 82. 
nuebar_e 1 - e 82.
numu_e 2 + m 82.
numubar_e 3 - m 82.
nutau_e 4 + t 82.
nutaubar_e 5 - t 82.
nue_Pb208_1n 6 + e 1.
nue_Pb208_2n 7 + e 1.
nc_nue_Pb208_1n 8 + e 1.
nc_nuebar_Pb208_1n 9 - e 1.
nc_numu_Pb208_1n 10 + m 1.
nc_numubar_Pb208_1n 11 - m 1.
nc_nutau_Pb208_1n 12 + t 1.
nc_nutaubar_Pb208_1n 13 - t 1.
nc_nue_Pb208_2n 14 + e 1.
nc_nuebar_Pb208_2n 15 - e 1.
nc_numu_Pb208_2n 16 + m 1.
nc_numubar_Pb208_2n 17 - m 1.
nc_nutau_Pb208_2n 18 + t 1.
nc_nutaubar_Pb208_2n 19 - t 1.
