         0.0104    3.39851e+09    9.84585e+08    9.84585e+08    2.03367e+09    9.84585e+08    9.84585e+08
         0.0106    3.34369e+09    9.95219e+08    9.95219e+08    2.03358e+09    9.95219e+08    9.95219e+08
         0.0108    3.28715e+09    1.00516e+09    1.00516e+09    2.03183e+09    1.00516e+09    1.00516e+09
          0.011     3.2291e+09    1.01441e+09    1.01441e+09    2.02848e+09    1.01441e+09    1.01441e+09
         0.0112    3.16975e+09    1.02298e+09    1.02298e+09    2.02359e+09    1.02298e+09    1.02298e+09
         0.0114    3.10931e+09    1.03087e+09    1.03087e+09    2.01725e+09    1.03087e+09    1.03087e+09
         0.0116    3.04796e+09    1.03811e+09    1.03811e+09    2.00951e+09    1.03811e+09    1.03811e+09
         0.0118    2.98589e+09    1.04469e+09    1.04469e+09    2.00044e+09    1.04469e+09    1.04469e+09
          0.012    2.92325e+09    1.05063e+09    1.05063e+09     1.9901e+09    1.05063e+09    1.05063e+09
         0.0122    2.86022e+09    1.05594e+09    1.05594e+09    1.97857e+09    1.05594e+09    1.05594e+09
         0.0124    2.79692e+09    1.06063e+09    1.06063e+09    1.96591e+09    1.06063e+09    1.06063e+09
         0.0126    2.73351e+09    1.06472e+09    1.06472e+09    1.95218e+09    1.06472e+09    1.06472e+09
         0.0128     2.6701e+09    1.06821e+09    1.06821e+09    1.93744e+09    1.06821e+09    1.06821e+09
          0.013    2.60681e+09    1.07113e+09    1.07113e+09    1.92175e+09    1.07113e+09    1.07113e+09
         0.0132    2.54376e+09    1.07348e+09    1.07348e+09    1.90518e+09    1.07348e+09    1.07348e+09
         0.0134    2.48104e+09    1.07529e+09    1.07529e+09    1.88778e+09    1.07529e+09    1.07529e+09
         0.0136    2.41874e+09    1.07656e+09    1.07656e+09    1.86961e+09    1.07656e+09    1.07656e+09
         0.0138    2.35695e+09     1.0773e+09     1.0773e+09    1.85073e+09     1.0773e+09     1.0773e+09
          0.014    2.29574e+09    1.07754e+09    1.07754e+09    1.83118e+09    1.07754e+09    1.07754e+09
         0.0142    2.23519e+09    1.07729e+09    1.07729e+09    1.81102e+09    1.07729e+09    1.07729e+09
         0.0144    2.17536e+09    1.07657e+09    1.07657e+09    1.79029e+09    1.07657e+09    1.07657e+09
         0.0146    2.11629e+09    1.07538e+09    1.07538e+09    1.76906e+09    1.07538e+09    1.07538e+09
         0.0148    2.05806e+09    1.07374e+09    1.07374e+09    1.74736e+09    1.07374e+09    1.07374e+09
