# Configuration/  mass in kton / target normalization
wc100kt30prct  100.     0.1111
wc100kt15prct  100.     0.1111
ar17kt         17.      0.025
scint50kt      50.      0.1429
halo1          0.079    0.004808
halo2          1.       0.004808
novaND         0.3      0.107
novaFD         14.      0.107
